🌠,2,
main,0,0
(,30,
),31,
{,28,
🔢,3,
a,0,1
=,13,
5,1,11
;,27,
🔢,3,
b,0,2
=,13,
10,1,12
;,27,
🔣,4,
c,0,3
=,13,
3.14,1,13
;,27,
📌,6,
pointA,0,4
=,13,
"📌<1.0, 2.5>",1,14
;,27,
📰,5,
name,0,5
=,13,
"""OpenAI""",1,15
;,27,
📣,11,
a,0,1
+,14,
b,0,2
;,27,
📣,11,
c,0,3
;,27,
❓,7,
(,30,
a,0,1
>,22,
b,0,2
),31,
{,28,
📣,11,
"""a is greater than b""",1,16
;,27,
},29,
❗,8,
{,28,
📣,11,
"""b is greater than or equal to a""",1,17
;,27,
},29,
🔄,9,
(,30,
a,0,1
<=,23,
b,0,2
),31,
{,28,
a,0,1
=,13,
a,0,1
+,14,
1,1,18
;,27,
📣,11,
a,0,1
;,27,
},29,
🏠,10,
0,1,19
;,27,
},29,
🌠,2,
calculate,0,6
(,30,
),31,
{,28,
🔢,3,
x,0,7
=,13,
20,1,20
;,27,
🔣,4,
result,0,8
=,13,
x,0,7
*,16,
3.5,1,21
;,27,
🔄,9,
(,30,
x,0,7
>=,24,
1,1,18
),31,
{,28,
result,0,8
;,27,
x,0,7
=,13,
x,0,7
-,15,
1,1,18
;,27,
},29,
🏠,10,
result,0,8
;,27,
},29,
🌠,2,
input_output_test,0,9
(,30,
),31,
{,28,
🔢,3,
userInput,0,10
;,27,
🔬,12,
userInput,0,10
;,27,
❓,7,
(,30,
userInput,0,10
==,19,
10,1,12
),31,
{,28,
📣,11,
"""Input is equal to 10""",1,22
;,27,
},29,
❗,8,
{,28,
📣,11,
"""Input is not equal to 10""",1,23
;,27,
},29,
🏠,10,
0,1,19
;,27,
},29,
