Threads,Matrix,Technique,Execution Time

2,data_10_10_3.txt,0,0.018350
2,data_10_10_3.txt,1,1.954600
2,data_10_10_3.txt,2,2.089700
2,data_10_10_3.txt,3,1.926200
2,data_10_10_3.txt,4,2.033750
2,data_10_10_3.txt,5,2.084100
2,data_10_10_3.txt,6,1.861350
2,data_10_10_3.txt,7,1.881650
2,data_10_10000_5.txt,0,36.712700
2,data_10_10000_5.txt,1,20.384951
2,data_10_10000_5.txt,2,17.936251
2,data_10_10000_5.txt,3,19.312302
2,data_10_10000_5.txt,4,19.052799
2,data_10_10000_5.txt,5,32.268349
2,data_10_10000_5.txt,6,23.478352
2,data_10_10000_5.txt,7,17.744801
2,data_1000_1000_5.txt,0,316.156006
2,data_1000_1000_5.txt,1,169.940002
2,data_1000_1000_5.txt,2,182.761002
2,data_1000_1000_5.txt,3,181.212997
2,data_1000_1000_5.txt,4,208.867004
2,data_1000_1000_5.txt,5,318.799988
2,data_1000_1000_5.txt,6,198.170013
2,data_1000_1000_5.txt,7,195.315491
2,data_10000_10_5.txt,0,32.891350
2,data_10000_10_5.txt,1,18.018452
2,data_10000_10_5.txt,2,24.173550
2,data_10000_10_5.txt,3,17.672649
2,data_10000_10_5.txt,4,18.282101
2,data_10000_10_5.txt,5,32.505402
2,data_10000_10_5.txt,6,20.758200
2,data_10000_10_5.txt,7,18.586800
2,data_10000_10000_5.txt,0,31,659.650391
2,data_10000_10000_5.txt,1,18,066.351563
2,data_10000_10000_5.txt,2,17,735.800781
4,data_10_10_3.txt,0,0.015400
4,data_10_10_3.txt,1,2.306567
4,data_10_10_3.txt,2,2.448500
4,data_10_10_3.txt,3,2.584333
4,data_10_10_3.txt,4,3.041633
4,data_10_10_3.txt,5,2.351167
4,data_10_10_3.txt,6,2.223300
4,data_10_10_3.txt,7,2.142700
4,data_10_10000_5.txt,0,34.795502
4,data_10_10000_5.txt,1,13.407567
4,data_10_10000_5.txt,2,14.630834
4,data_10_10000_5.txt,3,11.722467
4,data_10_10000_5.txt,4,14.551767
4,data_10_10000_5.txt,5,14.099734
4,data_10_10000_5.txt,6,15.323466
4,data_10_10000_5.txt,7,16.632567
4,data_1000_1000_5.txt,0,330.606669
4,data_1000_1000_5.txt,1,99.613729
4,data_1000_1000_5.txt,2,108.473002
4,data_1000_1000_5.txt,3,103.626831
4,data_1000_1000_5.txt,4,110.013601
4,data_1000_1000_5.txt,5,104.305664
4,data_1000_1000_5.txt,6,104.459330
4,data_1000_1000_5.txt,7,113.181000
4,data_10000_10_5.txt,0,33.531268
4,data_10000_10_5.txt,1,11.924166
4,data_10000_10_5.txt,2,15.119934
4,data_10000_10_5.txt,3,14.519800
4,data_10000_10_5.txt,4,14.547234
4,data_10000_10_5.txt,5,13.685767
4,data_10000_10_5.txt,6,13.294666
4,data_10000_10_5.txt,7,12.969367
4,data_10000_10000_5.txt,0,32,459.800781
4,data_10000_10000_5.txt,1,10,145.400391
8,data_10_10_3.txt,0,0.016933
8,data_10_10_3.txt,1,2.684300
8,data_10_10_3.txt,2,2.636533
8,data_10_10_3.txt,3,2.630867
8,data_10_10_3.txt,4,2.801500
8,data_10_10_3.txt,5,2.327233
8,data_10_10_3.txt,6,2.697533
8,data_10_10_3.txt,7,2.543200
8,data_10_10000_5.txt,0,33.800334
8,data_10_10000_5.txt,1,11.411901
8,data_10_10000_5.txt,2,11.740267
8,data_10_10000_5.txt,3,9.917000
8,data_10_10000_5.txt,4,11.754866
8,data_10_10000_5.txt,5,12.446634
8,data_10_10000_5.txt,6,10.240067
8,data_10_10000_5.txt,7,9.898900
8,data_1000_1000_5.txt,0,329.529663
8,data_1000_1000_5.txt,1,68.991699
8,data_1000_1000_5.txt,2,76.538966
8,data_1000_1000_5.txt,3,73.247365
8,data_1000_1000_5.txt,4,71.016902
8,data_1000_1000_5.txt,5,105.795664
8,data_1000_1000_5.txt,6,70.299001
8,data_1000_1000_5.txt,7,70.219666
8,data_10000_10_5.txt,0,33.934532
8,data_10000_10_5.txt,1,9.917567
8,data_10000_10_5.txt,2,10.261000
8,data_10000_10_5.txt,3,11.719299
8,data_10000_10_5.txt,4,11.681466
8,data_10000_10_5.txt,5,13.291200
8,data_10000_10_5.txt,6,9.542100
8,data_10000_10_5.txt,7,10.120167
8,data_10000_10000_5.txt,0,32,401.599609
8,data_10000_10000_5.txt,1,6,682.569824
16,data_10_10_3.txt,0,0.017033
16,data_10_10_3.txt,1,3.012633
16,data_10_10_3.txt,2,3.228600
16,data_10_10_3.txt,3,2.715033
16,data_10_10_3.txt,4,3.355234
16,data_10_10_3.txt,5,3.187700
16,data_10_10_3.txt,6,3.067667
16,data_10_10_3.txt,7,2.956667
16,data_10_10000_5.txt,0,31.961833
16,data_10_10000_5.txt,1,10.788534
16,data_10_10000_5.txt,2,11.145566
16,data_10_10000_5.txt,3,10.451233
16,data_10_10000_5.txt,4,10.252100
16,data_10_10000_5.txt,5,9.832133
16,data_10_10000_5.txt,6,10.582967
16,data_10_10000_5.txt,7,9.974333
16,data_1000_1000_5.txt,0,335.304667
16,data_1000_1000_5.txt,1,74.095601
16,data_1000_1000_5.txt,2,70.146235
16,data_1000_1000_5.txt,3,72.930400
16,data_1000_1000_5.txt,4,70.863597
16,data_1000_1000_5.txt,5,70.791036
16,data_1000_1000_5.txt,6,69.764699
16,data_1000_1000_5.txt,7,74.234299
16,data_10000_10_5.txt,0,32.290301
16,data_10000_10_5.txt,1,9.707600
16,data_10000_10_5.txt,2,9.589767
16,data_10000_10_5.txt,3,10.851367
16,data_10000_10_5.txt,4,12.823733
16,data_10000_10_5.txt,5,9.965300
16,data_10000_10_5.txt,6,10.530933
16,data_10000_10_5.txt,7,9.800400
16,data_10000_10000_5.txt,0,32,023.800781
16,data_10000_10000_5.txt,1,5,817.799805
