Threads,Matrix,Technique,Execution Time
2,data_10_10_3.txt,0,0.035775
2,data_10_10_3.txt,1,2.468825
2,data_10_10_3.txt,2,2.222900
2,data_10_10_3.txt,3,2.211325
2,data_10_10_3.txt,4,2.280900
2,data_10_10_3.txt,5,2.198375
2,data_10_10_3.txt,6,2.206250
2,data_10_10_3.txt,7,2.297775
2,data_10_10000_5.txt,0,29.932301
2,data_10_10000_5.txt,1,17.421900
2,data_10_10000_5.txt,2,19.151424
2,data_10_10000_5.txt,3,17.927425
2,data_10_10000_5.txt,4,17.651251
2,data_10_10000_5.txt,5,32.727825
2,data_10_10000_5.txt,6,46.379776
2,data_10_10000_5.txt,7,57.281025
2,data_1000_1000_5.txt,0,304.221008
2,data_1000_1000_5.txt,1,177.945007
2,data_1000_1000_5.txt,2,176.363754
2,data_1000_1000_5.txt,3,180.406998
2,data_1000_1000_5.txt,4,160.643250
2,data_1000_1000_5.txt,5,315.553253
2,data_1000_1000_5.txt,6,162.996246
2,data_1000_1000_5.txt,7,167.540009
2,data_10000_10_5.txt,0,47.587299
2,data_10000_10_5.txt,1,26.636051
2,data_10000_10_5.txt,2,27.656776
2,data_10000_10_5.txt,3,34.802673
2,data_10000_10_5.txt,4,36.026978
2,data_10000_10_5.txt,5,46.536926
2,data_10000_10_5.txt,6,26.504200
2,data_10000_10_5.txt,7,34.821323
2,data_10000_10000_5.txt,0,30999.500000
2,data_10000_10000_5.txt,1,16638.125000
2,data_10000_10000_5.txt,2,17083.000000
4,data_10_10_3.txt,0,0.027433
4,data_10_10_3.txt,1,2.335300
4,data_10_10_3.txt,2,2.371733
4,data_10_10_3.txt,3,2.453600
4,data_10_10_3.txt,4,2.470567
4,data_10_10_3.txt,5,2.358967
4,data_10_10_3.txt,6,2.391900
4,data_10_10_3.txt,7,2.488167
4,data_10_10000_5.txt,0,29.837334
4,data_10_10000_5.txt,1,16.053933
4,data_10_10000_5.txt,2,12.534733
4,data_10_10000_5.txt,3,14.002266
4,data_10_10000_5.txt,4,13.864400
4,data_10_10000_5.txt,5,14.667600
4,data_10_10000_5.txt,6,10.931733
4,data_10_10000_5.txt,7,12.841067
4,data_1000_1000_5.txt,0,337.899007
4,data_1000_1000_5.txt,1,110.555298
4,data_1000_1000_5.txt,2,107.457397
4,data_1000_1000_5.txt,3,99.668467
4,data_1000_1000_5.txt,4,106.433929
4,data_1000_1000_5.txt,5,113.920664
4,data_1000_1000_5.txt,6,117.437002
4,data_1000_1000_5.txt,7,112.698629
4,data_10000_10_5.txt,0,45.810699
4,data_10000_10_5.txt,1,17.824066
4,data_10000_10_5.txt,2,18.921633
4,data_10000_10_5.txt,3,28.201335
4,data_10000_10_5.txt,4,25.782867
4,data_10000_10_5.txt,5,21.204834
4,data_10000_10_5.txt,6,17.464667
4,data_10000_10_5.txt,7,30.075033
4,data_10000_10000_5.txt,0,32409.300781
4,data_10000_10000_5.txt,1,10032.400391
8,data_10_10_3.txt,0,0.030533
8,data_10_10_3.txt,1,2.680133
8,data_10_10_3.txt,2,2.855100
8,data_10_10_3.txt,3,2.826000
8,data_10_10_3.txt,4,2.702333
8,data_10_10_3.txt,5,2.397700
8,data_10_10_3.txt,6,2.836633
8,data_10_10_3.txt,7,2.820667
8,data_10_10000_5.txt,0,36.335668
8,data_10_10000_5.txt,1,10.780666
8,data_10_10000_5.txt,2,11.137367
8,data_10_10000_5.txt,3,9.300367
8,data_10_10000_5.txt,4,9.807266
8,data_10_10000_5.txt,5,14.955400
8,data_10_10000_5.txt,6,9.343367
8,data_10_10000_5.txt,7,9.708333
8,data_1000_1000_5.txt,0,430.813314
8,data_1000_1000_5.txt,1,73.618530
8,data_1000_1000_5.txt,2,67.910868
8,data_1000_1000_5.txt,3,72.316467
8,data_1000_1000_5.txt,4,68.469233
8,data_1000_1000_5.txt,5,98.823466
8,data_1000_1000_5.txt,6,66.650899
8,data_1000_1000_5.txt,7,70.353867
8,data_10000_10_5.txt,0,54.957703
8,data_10000_10_5.txt,1,12.208000
8,data_10000_10_5.txt,2,12.207733
8,data_10000_10_5.txt,3,26.749700
8,data_10000_10_5.txt,4,27.969032
8,data_10000_10_5.txt,5,21.229434
8,data_10000_10_5.txt,6,12.791567
8,data_10000_10_5.txt,7,25.904032
8,data_10000_10000_5.txt,0,32124.800781
8,data_10000_10000_5.txt,1,6435.330078
16,data_10_10_3.txt,0,0.032300
16,data_10_10_3.txt,1,2.810600
16,data_10_10_3.txt,2,3.586500
16,data_10_10_3.txt,3,2.953967
16,data_10_10_3.txt,4,3.325100
16,data_10_10_3.txt,5,3.590133
16,data_10_10_3.txt,6,3.540500
16,data_10_10_3.txt,7,3.425734
16,data_10_10000_5.txt,0,29.993668
16,data_10_10000_5.txt,1,12.007033
16,data_10_10000_5.txt,2,12.000900
16,data_10_10000_5.txt,3,9.844934
16,data_10_10000_5.txt,4,10.269866
16,data_10_10000_5.txt,5,9.341667
16,data_10_10000_5.txt,6,9.354567
16,data_10_10000_5.txt,7,9.971500
16,data_1000_1000_5.txt,0,335.767008
16,data_1000_1000_5.txt,1,63.376933
16,data_1000_1000_5.txt,2,70.152629
16,data_1000_1000_5.txt,3,71.380402
16,data_1000_1000_5.txt,4,70.082601
16,data_1000_1000_5.txt,5,65.326630
16,data_1000_1000_5.txt,6,94.394399
16,data_1000_1000_5.txt,7,70.785833
16,data_10000_10_5.txt,0,55.017899
16,data_10000_10_5.txt,1,12.286166
16,data_10000_10_5.txt,2,12.899667
16,data_10000_10_5.txt,3,31.123301
16,data_10000_10_5.txt,4,26.877335
16,data_10000_10_5.txt,5,17.892067
16,data_10000_10_5.txt,6,12.698433
16,data_10000_10_5.txt,7,23.669467
16,data_10000_10000_5.txt,0,31523.300781
16,data_10000_10000_5.txt,1,5411.600098
