Threads,Matrix,Technique,Execution Time
2,data_10_10_3.txt,0,0.000000
2,data_10_10_3.txt,1,2.142675
2,data_10_10_3.txt,2,1.988850
2,data_10_10_3.txt,3,2.127650
2,data_10_10_3.txt,4,2.098825
2,data_10_10_3.txt,5,2.139175
2,data_10_10_3.txt,6,2.091300
2,data_10_10_3.txt,7,1.972400
2,data_10_10000_5.txt,0,0.000000
2,data_10_10000_5.txt,1,17.733574
2,data_10_10000_5.txt,2,19.116650
2,data_10_10000_5.txt,3,20.891325
2,data_10_10000_5.txt,4,18.345299
2,data_10_10000_5.txt,5,32.276600
2,data_10_10000_5.txt,6,18.306301
2,data_10_10000_5.txt,7,20.939924
2,data_1000_1000_5.txt,0,0.000000
2,data_1000_1000_5.txt,1,168.649750
2,data_1000_1000_5.txt,2,169.565247
2,data_1000_1000_5.txt,3,163.930756
2,data_1000_1000_5.txt,4,165.179245
2,data_1000_1000_5.txt,5,332.275513
2,data_1000_1000_5.txt,6,168.909241
2,data_1000_1000_5.txt,7,165.714005
2,data_10000_10_5.txt,0,0.000000
2,data_10000_10_5.txt,1,18.233549
2,data_10000_10_5.txt,2,17.771801
2,data_10000_10_5.txt,3,19.885725
2,data_10000_10_5.txt,4,19.218250
2,data_10000_10_5.txt,5,33.263000
2,data_10000_10_5.txt,6,21.457125
2,data_10000_10_5.txt,7,20.203075
