Threads,Matrix,Technique,Execution Time
2,data_10_10_3.txt,0,0.035775
,,1,2.468825
,,2,2.2229
,,3,2.211325
,,4,2.2809
,,5,2.198375
,,6,2.20625
,,7,2.297775
,data_10_10000_5.txt,0,29.932301
,,1,17.4219
,,2,19.151424
,,3,17.927425
,,4,17.651251
,,5,32.727825
,,6,46.379776
,,7,57.281025
,data_1000_1000_5.txt,0,304.221008
,,1,177.945007
,,2,176.363754
,,3,180.406998
,,4,160.64325
,,5,315.553253
,,6,162.996246
,,7,167.540009
,data_10000_10_5.txt,0,47.587299
,,1,26.636051
,,2,27.656776
,,3,34.802673
,,4,36.026978
,,5,46.536926
,,6,26.5042
,,7,34.821323
,data_10000_10000_5.txt,0,30999.5
,,1,16638.125
,,2,17833
4,data_10_10_3.txt,0,0.027433
,,1,2.3353
,,2,2.371733
,,3,2.4536
,,4,2.470567
,,5,2.358967
,,6,2.3919
,,7,2.488167
,data_10_10000_5.txt,0,29.837334
,,1,16.053933
,,2,12.534733
,,3,14.002266
,,4,13.8644
,,5,14.6676
,,6,10.931733
,,7,12.841067
,data_1000_1000_5.txt,0,337.899007
,,1,110.555298
,,2,107.457397
,,3,99.668467
,,4,106.433929
,,5,113.920664
,,6,117.437002
,,7,112.698629
,data_10000_10_5.txt,0,45.810699
,,1,17.824066
,,2,18.921633
,,3,28.201335
,,4,25.782867
,,5,21.204834
,,6,17.464667
,,7,30.075033
